case_id,t1,t1ce,t2,flair,efficiency_gap,full_value,model,seed
BRATS_327,0.12379376156520305,0.3954395594426897,0.19503042510606694,0.1983484403439918,0.0,0.9126121864579515,no_quality,43
BRATS_336,0.13699332983392065,0.3819599774633339,0.1540705282424184,0.21519138763158993,0.0,0.8882152231712629,no_quality,43
BRATS_342,0.006379378639069684,0.14742791331071947,0.2301393608284557,0.28061008215938876,0.0,0.6645567349376337,no_quality,43
BRATS_348,0.17715854452981275,0.3261576729537989,0.1597779780320592,0.2272733034980582,0.0,0.890367499013729,no_quality,43
BRATS_354,0.1534667434138175,0.34310663980067346,0.19103087918820894,0.2014379169560448,0.0,0.8890421793587446,no_quality,43
BRATS_358,0.13141745578115838,0.27651119583422323,0.16300237803381748,0.17716157144336794,0.0,0.748092601092567,no_quality,43
BRATS_360,0.12429995547183566,0.30808605956249924,0.19409546339886963,0.2057482252749536,-1.1102230246251565e-16,0.8322297037081582,no_quality,43
BRATS_374,0.0803345892974876,0.3207606566696007,0.20582202746439487,0.22808064530610778,-1.1102230246251565e-16,0.834997918737591,no_quality,43
BRATS_384,0.14819736313333057,0.3644715114911347,0.17971960914369384,0.18441429226406506,-1.1102230246251565e-16,0.8768027760322242,no_quality,43
BRATS_391,0.11480163774706838,0.3413885668485783,0.18894870862326524,0.2559266252529622,1.1102230246251565e-16,0.9010655384718741,no_quality,43
BRATS_393,0.11201896851223214,0.3601699026985885,0.19582248206489414,0.2233999235041071,0.0,0.8914112767798219,no_quality,43
BRATS_396,0.13892806371497912,0.3632979788226045,0.21364503192793496,0.20933335894265198,0.0,0.9252044334081706,no_quality,43
BRATS_403,0.13963378802852552,0.3094184910511103,0.18116142302715416,0.18379759966123,-1.1102230246251565e-16,0.8140113017680201,no_quality,43
BRATS_414,0.11875444902812118,0.2759009090752081,0.23289422968731566,0.2147583611250696,1.1102230246251565e-16,0.8423079489157145,no_quality,43
BRATS_475,0.13192016083225336,0.3771767612341041,0.19187555429728947,0.19869879145065633,0.0,0.8996712678143033,no_quality,43
BRATS_023,0.10276528585571856,0.19571510147114482,0.128480545234681,0.19707357163208863,0.0,0.624034504193633,qmmf,44
BRATS_027,0.15065924663212624,0.08903667591798381,0.2901007949756519,0.30155988462504524,0.0,0.8313566021508072,qmmf,44
BRATS_034,0.12625547081984292,0.1401168310249205,0.18787032780219462,0.1595889199455047,0.0,0.6138315495924628,qmmf,44
BRATS_059,0.14495068595709382,0.32536233830753575,0.1987953042221107,0.2272987601736689,1.1102230246251565e-16,0.8964070886604091,qmmf,44
BRATS_062,0.05742432344973889,0.29718348710326503,0.1437353878962532,0.18100722061586938,0.0,0.6793504190651265,qmmf,44
BRATS_066,0.1317532976496196,0.37887222274672877,0.10763957901873482,0.10247157202816896,0.0,0.7207366714432522,qmmf,44
