model,seed,case_id,group_id,subset,macro_dice
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1ce+t2+flair,0.8620853253195238
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t2,0.6186345947335967
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t2+flair,0.7076297408060434
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,flair,0.6662855297895426
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1,0.3867640556030745
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+flair,0.6411104257276307
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+t1ce,0.6743924162691018
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+t1ce+flair,0.8325391597329367
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+t1ce+t2,0.8149530531031716
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+t1ce+t2+flair,0.8364114989604099
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+t2,0.6291277760668939
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1+t2+flair,0.6737700371412577
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1ce,0.60900061962284
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1ce+flair,0.8479082521683426
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1ce+t2,0.830210227889712
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t1ce+t2+flair,0.8458478950655058
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t2,0.6878991149742454
qmmf,43,BRATS_190,sg_4f51bee88ad1bdc1,t2+flair,0.7012105831166554
qmmf,43,BRATS_268,sg_56143f5cb2b81628,flair,0.4117847710863935
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1,0.42870767037507407
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+flair,0.4386349690149433
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+t1ce,0.49843190980014335
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+t1ce+flair,0.5586229220264433
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+t1ce+t2,0.5117167586800467
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+t1ce+t2+flair,0.5695192161313093
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+t2,0.4612054726005033
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1+t2+flair,0.5148157065793474
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1ce,0.48153466241995907
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1ce+flair,0.5550956546425602
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1ce+t2,0.5084130022212815
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t1ce+t2+flair,0.5663808478917197
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t2,0.4592987351198378
qmmf,43,BRATS_268,sg_56143f5cb2b81628,t2+flair,0.4870601122107879
qmmf,43,BRATS_318,sg_573aa66b02bed579,flair,0.6491634239406946
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1,0.41225700846871777
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+flair,0.6495383344732956
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+t1ce,0.7488141137273104
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+t1ce+flair,0.853608588082151
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+t1ce+t2,0.8316616023487341
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+t1ce+t2+flair,0.8501240167185317
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+t2,0.596146893341294
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1+t2+flair,0.6476276739976853
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1ce,0.7416685829971369
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1ce+flair,0.8603793618678942
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1ce+t2,0.8356290609924061
qmmf,43,BRATS_318,sg_573aa66b02bed579,t1ce+t2+flair,0.8497801414419994
qmmf,43,BRATS_318,sg_573aa66b02bed579,t2,0.5507038909200609
qmmf,43,BRATS_318,sg_573aa66b02bed579,t2+flair,0.6331362827260533
