model,case_id,subset,group_id,n_modalities,macro_dice
hemis,BRATS_172,t1+t1ce+t2,sg_cb857fb98a0abf51,3,0.30429111837558326
hemis,BRATS_172,t1+t1ce+t2+flair,sg_cb857fb98a0abf51,4,0.3366037102284762
hemis,BRATS_172,t1+t2,sg_cb857fb98a0abf51,2,0.2613178759261976
hemis,BRATS_172,t1+t2+flair,sg_cb857fb98a0abf51,3,0.3087513315007959
hemis,BRATS_172,t1ce,sg_cb857fb98a0abf51,1,0.20164218989852134
hemis,BRATS_172,t1ce+flair,sg_cb857fb98a0abf51,2,0.36700497576263946
hemis,BRATS_172,t1ce+t2,sg_cb857fb98a0abf51,2,0.3825895447141115
hemis,BRATS_172,t1ce+t2+flair,sg_cb857fb98a0abf51,3,0.4575997068309845
hemis,BRATS_172,t2,sg_cb857fb98a0abf51,1,0.19105243575930517
hemis,BRATS_172,t2+flair,sg_cb857fb98a0abf51,2,0.3831339606809225
hemis,BRATS_338,flair,sg_602726c0ba192496,1,0.0891560303721685
hemis,BRATS_338,t1,sg_602726c0ba192496,1,0.0003819335631463491
hemis,BRATS_338,t1+flair,sg_602726c0ba192496,2,0.07235354509330759
hemis,BRATS_338,t1+t1ce,sg_602726c0ba192496,2,0.006044970912128839
hemis,BRATS_338,t1+t1ce+flair,sg_602726c0ba192496,3,0.06969334864314562
hemis,BRATS_338,t1+t1ce+t2,sg_602726c0ba192496,3,0.015361251177700742
hemis,BRATS_338,t1+t1ce+t2+flair,sg_602726c0ba192496,4,0.12882519533069156
hemis,BRATS_338,t1+t2,sg_602726c0ba192496,2,0.013706588239565746
hemis,BRATS_338,t1+t2+flair,sg_602726c0ba192496,3,0.11867688761524435
hemis,BRATS_338,t1ce,sg_602726c0ba192496,1,0.04842043465087543
hemis,BRATS_338,t1ce+flair,sg_602726c0ba192496,2,0.2431627225962015
hemis,BRATS_338,t1ce+t2,sg_602726c0ba192496,2,0.059861382112292416
hemis,BRATS_338,t1ce+t2+flair,sg_602726c0ba192496,3,0.15601019949086078
hemis,BRATS_338,t2,sg_602726c0ba192496,1,0.015240011176306231
hemis,BRATS_338,t2+flair,sg_602726c0ba192496,2,0.06682270005129086
hemis,BRATS_367,flair,sg_a46b5f5bbd1aae60,1,0.2784945414953706
hemis,BRATS_367,t1,sg_a46b5f5bbd1aae60,1,0.007985786579769453
hemis,BRATS_367,t1+flair,sg_a46b5f5bbd1aae60,2,0.1776586101199579
hemis,BRATS_367,t1+t1ce,sg_a46b5f5bbd1aae60,2,0.04302895206345689
hemis,BRATS_367,t1+t1ce+flair,sg_a46b5f5bbd1aae60,3,0.19229346228721833
hemis,BRATS_367,t1+t1ce+t2,sg_a46b5f5bbd1aae60,3,0.280821438008908
hemis,BRATS_367,t1+t1ce+t2+flair,sg_a46b5f5bbd1aae60,4,0.3219897019235082
hemis,BRATS_367,t1+t2,sg_a46b5f5bbd1aae60,2,0.24366730000390258
hemis,BRATS_367,t1+t2+flair,sg_a46b5f5bbd1aae60,3,0.2892117532663369
hemis,BRATS_367,t1ce,sg_a46b5f5bbd1aae60,1,0.08410014908666631
hemis,BRATS_367,t1ce+flair,sg_a46b5f5bbd1aae60,2,0.33550327607044567
hemis,BRATS_367,t1ce+t2,sg_a46b5f5bbd1aae60,2,0.27290781074981446
hemis,BRATS_367,t1ce+t2+flair,sg_a46b5f5bbd1aae60,3,0.34394861523444464
hemis,BRATS_367,t2,sg_a46b5f5bbd1aae60,1,0.07578074979701656
hemis,BRATS_367,t2+flair,sg_a46b5f5bbd1aae60,2,0.19685163243591933
hemis,BRATS_369,flair,sg_46b6c66765483f24,1,0.3646031995494874
hemis,BRATS_369,t1,sg_46b6c66765483f24,1,0.021755891174937966
hemis,BRATS_369,t1+flair,sg_46b6c66765483f24,2,0.2584550439586426
hemis,BRATS_369,t1+t1ce,sg_46b6c66765483f24,2,0.04263535143281477
hemis,BRATS_369,t1+t1ce+flair,sg_46b6c66765483f24,3,0.22125124533250531
hemis,BRATS_369,t1+t1ce+t2,sg_46b6c66765483f24,3,0.1959013210019007
hemis,BRATS_369,t1+t1ce+t2+flair,sg_46b6c66765483f24,4,0.30083013850655627
hemis,BRATS_369,t1+t2,sg_46b6c66765483f24,2,0.24805842540643527
hemis,BRATS_369,t1+t2+flair,sg_46b6c66765483f24,3,0.3203037959203697
hemis,BRATS_369,t1ce,sg_46b6c66765483f24,1,0.05648893854479586
hemis,BRATS_369,t1ce+flair,sg_46b6c66765483f24,2,0.35397739336627065
hemis,BRATS_369,t1ce+t2,sg_46b6c66765483f24,2,0.31670954361261733
hemis,BRATS_369,t1ce+t2+flair,sg_46b6c66765483f24,3,0.36821905583007514
hemis,BRATS_369,t2,sg_46b6c66765483f24,1,0.23126482759953582
