model,case_id,t1,t1ce,t2,flair,efficiency_gap,full_value
no_variance,BRATS_338,0.046005691354980865,0.317270281088002,0.11531555085291914,0.21806508278518683,0.0,0.6966566060810888
no_variance,BRATS_367,0.09854996877978942,0.3913681300073356,0.1520281522596706,0.22332918118279774,-1.1102230246251565e-16,0.8652754322295935
no_variance,BRATS_369,0.140870550000689,0.2916829561059494,0.20229617957722545,0.2005778676750279,-1.1102230246251565e-16,0.8354275533588919
no_variance,BRATS_404,0.022597221625987356,0.26324238298772695,0.24239994769793302,0.2390852233371731,-1.1102230246251565e-16,0.7673247756488205
no_variance,BRATS_413,0.09490828651062386,0.31334248097499096,0.1490455794702989,0.20661833090402013,0.0,0.7639146778599338
no_variance,BRATS_430,0.08716846353259662,0.44848740070090476,0.15141196166592985,0.116136674264814,0.0,0.8032045001642453
no_variance,BRATS_441,0.11526399220104737,0.42631800531069464,0.14581832118217142,0.14463424763921706,0.0,0.8320345663331304
no_variance,BRATS_484,0.15087972062874042,0.35819186978996237,0.1619016165542714,0.2316234726545856,-1.1102230246251565e-16,0.9025966796275599
no_max,BRATS_021,0.18679379516319286,0.1499128350946221,0.2328466761801967,0.2136555274780199,0.0,0.7832088339160316
no_max,BRATS_111,0.12655983303167537,0.386317891172225,0.1478556727273333,0.2503756036713317,0.0,0.9111090006025654
no_max,BRATS_172,0.1577882516179653,0.3705514312642223,0.20490788158421866,0.20366688310624306,-1.1102230246251565e-16,0.9369144475726494
no_max,BRATS_219,0.16815668357709812,0.3811217041136971,0.16105444042250092,0.17694651188063337,0.0,0.8872793399939295
no_max,BRATS_230,0.10526234125297966,0.19822155682249437,0.1730664758464401,0.11653440516392588,0.0,0.59308477908584
no_max,BRATS_258,0.029121754155539373,0.4531075979846729,0.1686999002619115,0.23991019628262322,1.1102230246251565e-16,0.890839448684747
no_max,BRATS_324,0.06750252465333492,0.4719842923883564,0.12053802738892723,0.14065438187858398,0.0,0.8006792263092025
no_max,BRATS_335,0.11536413150203705,0.3109648516614236,0.18321008482449402,0.2271001810876999,0.0,0.8366392490756546
no_max,BRATS_338,0.04261503960056381,0.2956776081656942,0.11822367884328235,0.22691151324951334,0.0,0.6834278398590538
