model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_369,flair,sg_46b6c66765483f24,1,0.6952211367715733
qmmf,BRATS_369,t1,sg_46b6c66765483f24,1,0.5972801398914044
qmmf,BRATS_369,t1+flair,sg_46b6c66765483f24,2,0.6669761212666606
qmmf,BRATS_369,t1+t1ce,sg_46b6c66765483f24,2,0.7871393499709646
qmmf,BRATS_369,t1+t1ce+flair,sg_46b6c66765483f24,3,0.8013487913665925
qmmf,BRATS_369,t1+t1ce+t2,sg_46b6c66765483f24,3,0.8232540701297452
qmmf,BRATS_369,t1+t1ce+t2+flair,sg_46b6c66765483f24,4,0.8127054380510281
qmmf,BRATS_369,t1+t2,sg_46b6c66765483f24,2,0.6943932108398686
qmmf,BRATS_369,t1+t2+flair,sg_46b6c66765483f24,3,0.6857558506093967
qmmf,BRATS_369,t1ce,sg_46b6c66765483f24,1,0.7008131845236006
qmmf,BRATS_369,t1ce+flair,sg_46b6c66765483f24,2,0.8012244724413414
qmmf,BRATS_369,t1ce+t2,sg_46b6c66765483f24,2,0.8274121862148767
qmmf,BRATS_369,t1ce+t2+flair,sg_46b6c66765483f24,3,0.8227711107567984
qmmf,BRATS_369,t2,sg_46b6c66765483f24,1,0.691964458483206
qmmf,BRATS_369,t2+flair,sg_46b6c66765483f24,2,0.6987833952927721
qmmf,BRATS_404,flair,sg_294e1273de6f57c3,1,0.5615045021450679
qmmf,BRATS_404,t1,sg_294e1273de6f57c3,1,0.18896626764384902
qmmf,BRATS_404,t1+flair,sg_294e1273de6f57c3,2,0.614733463518685
qmmf,BRATS_404,t1+t1ce,sg_294e1273de6f57c3,2,0.6803510426336778
qmmf,BRATS_404,t1+t1ce+flair,sg_294e1273de6f57c3,3,0.7629373486249258
qmmf,BRATS_404,t1+t1ce+t2,sg_294e1273de6f57c3,3,0.7749845621735275
qmmf,BRATS_404,t1+t1ce+t2+flair,sg_294e1273de6f57c3,4,0.7674438050358785
qmmf,BRATS_404,t1+t2,sg_294e1273de6f57c3,2,0.6869261409916625
qmmf,BRATS_404,t1+t2+flair,sg_294e1273de6f57c3,3,0.6604363913008827
qmmf,BRATS_404,t1ce,sg_294e1273de6f57c3,1,0.6077876919536637
qmmf,BRATS_404,t1ce+flair,sg_294e1273de6f57c3,2,0.7663122809177051
qmmf,BRATS_404,t1ce+t2,sg_294e1273de6f57c3,2,0.7828086213032184
qmmf,BRATS_404,t1ce+t2+flair,sg_294e1273de6f57c3,3,0.7904435730149216
qmmf,BRATS_404,t2,sg_294e1273de6f57c3,1,0.6252251716046423
qmmf,BRATS_404,t2+flair,sg_294e1273de6f57c3,2,0.613622069567535
qmmf,BRATS_413,flair,sg_3b44f65ab67602cc,1,0.26142589212480344
qmmf,BRATS_413,t1,sg_3b44f65ab67602cc,1,0.26787260546650943
qmmf,BRATS_413,t1+flair,sg_3b44f65ab67602cc,2,0.4535764830116682
qmmf,BRATS_413,t1+t1ce,sg_3b44f65ab67602cc,2,0.522728509525026
qmmf,BRATS_413,t1+t1ce+flair,sg_3b44f65ab67602cc,3,0.7904879475199832
qmmf,BRATS_413,t1+t1ce+t2,sg_3b44f65ab67602cc,3,0.6840743341098999
qmmf,BRATS_413,t1+t1ce+t2+flair,sg_3b44f65ab67602cc,4,0.8084726566493606
qmmf,BRATS_413,t1+t2,sg_3b44f65ab67602cc,2,0.4104555006152976
qmmf,BRATS_413,t1+t2+flair,sg_3b44f65ab67602cc,3,0.48537640729934334
qmmf,BRATS_413,t1ce,sg_3b44f65ab67602cc,1,0.4799621386416793
qmmf,BRATS_413,t1ce+flair,sg_3b44f65ab67602cc,2,0.740672853703507
qmmf,BRATS_413,t1ce+t2,sg_3b44f65ab67602cc,2,0.6538451111204958
qmmf,BRATS_413,t1ce+t2+flair,sg_3b44f65ab67602cc,3,0.7844596290344441
qmmf,BRATS_413,t2,sg_3b44f65ab67602cc,1,0.3502402128732767
qmmf,BRATS_413,t2+flair,sg_3b44f65ab67602cc,2,0.46982949552042547
qmmf,BRATS_430,flair,sg_a4981b8b123d95c4,1,0.24356823084974913
qmmf,BRATS_430,t1,sg_a4981b8b123d95c4,1,0.24947190250471074
qmmf,BRATS_430,t1+flair,sg_a4981b8b123d95c4,2,0.3492096170773132
qmmf,BRATS_430,t1+t1ce,sg_a4981b8b123d95c4,2,0.6759723638391786
qmmf,BRATS_430,t1+t1ce+flair,sg_a4981b8b123d95c4,3,0.778395435994391
qmmf,BRATS_430,t1+t1ce+t2,sg_a4981b8b123d95c4,3,0.7391174112126991
qmmf,BRATS_430,t1+t1ce+t2+flair,sg_a4981b8b123d95c4,4,0.7934510616132467
qmmf,BRATS_430,t1+t2,sg_a4981b8b123d95c4,2,0.4313785460934045
qmmf,BRATS_430,t1+t2+flair,sg_a4981b8b123d95c4,3,0.462142818033974
qmmf,BRATS_430,t1ce,sg_a4981b8b123d95c4,1,0.6666164669362167
qmmf,BRATS_430,t1ce+flair,sg_a4981b8b123d95c4,2,0.785037453082173
qmmf,BRATS_430,t1ce+t2,sg_a4981b8b123d95c4,2,0.747304455296233
qmmf,BRATS_430,t1ce+t2+flair,sg_a4981b8b123d95c4,3,0.8022856412522245
qmmf,BRATS_430,t2,sg_a4981b8b123d95c4,1,0.37778399349445974
qmmf,BRATS_430,t2+flair,sg_a4981b8b123d95c4,2,0.4299603306460307
qmmf,BRATS_441,flair,sg_baba356c1735c37c,1,0.4792415264071037
qmmf,BRATS_441,t1,sg_baba356c1735c37c,1,0.37876653428610463
qmmf,BRATS_441,t1+flair,sg_baba356c1735c37c,2,0.4969181642691418
